,Community
HAVELLS.NS,0
ACC.NS,0
AMBUJACEM.NS,0
BAJFINANCE.NS,0
MARICO.NS,0
TATACONSUM.NS,0
CROMPTON.NS,0
VOLTAS.NS,0
BRITANNIA.NS,0
DABUR.NS,0
DLF.NS,0
COLPAL.NS,0
HDFCBANK.NS,0
SBIN.NS,0
INDIGO.NS,0
AXISBANK.NS,0
CHOLAFIN.NS,0
KOTAKBANK.NS,0
TVSMOTOR.NS,0
DALBHARAT.NS,0
TITAN.NS,0
DEEPAKNTR.NS,0
INDUSINDBK.NS,0
SHREECEM.NS,0
ULTRACEMCO.NS,0
NAVINFLUOR.NS,0
NESTLEIND.NS,0
HINDUNILVR.NS,0
ADANIENT.NS,0
GODREJCP.NS,0
RAMCOCEM.NS,0
UBL.NS,0
BAJAJFINSV.NS,0
GRASIM.NS,0
SRF.NS,0
BERGEPAINT.NS,0
ADANIGREEN.NS,0
ASIANPAINT.NS,0
LT.NS,0
RELIANCE.NS,0
ICICIBANK.NS,0
APOLLOHOSP.NS,0
SUNTV.NS,0
PIDILITIND.NS,0
RECLTD.NS,1
VEDL.NS,1
ZEEL.NS,1
BPCL.NS,1
NTPC.NS,1
M&MFIN.NS,1
BANKBARODA.NS,1
COALINDIA.NS,1
NMDC.NS,1
BANDHANBNK.NS,1
IDFCFIRSTB.NS,1
LICHSGFIN.NS,1
PFC.NS,1
GMRINFRA.NS,1
TORNTPOWER.NS,1
GUJGASLTD.NS,1
ADANIPORTS.NS,1
MGL.NS,1
SAIL.NS,1
JSWSTEEL.NS,1
HAL.NS,1
EXIDEIND.NS,1
HINDPETRO.NS,1
HINDZINC.NS,1
POWERGRID.NS,1
CANBK.NS,1
ONGC.NS,1
HINDALCO.NS,1
CASTROLIND.NS,1
FEDERALBNK.NS,1
IGL.NS,1
JINDALSTEL.NS,1
GAIL.NS,1
PNB.NS,1
RBLBANK.NS,1
TATACHEM.NS,1
UNIONBANK.NS,1
MANAPPURAM.NS,1
BHEL.NS,1
TATAPOWER.NS,1
BHARATFORG.NS,2
BAJAJ-AUTO.NS,2
ASHOKLEY.NS,2
M&M.NS,2
HEROMOTOCO.NS,2
BOSCHLTD.NS,2
TATAMOTORS.NS,2
MRF.NS,2
MARUTI.NS,2
ITC.NS,2
EICHERMOT.NS,2
APOLLOTYRE.NS,2
ICICIGI.NS,3
TATACOMM.NS,3
HDFCLIFE.NS,3
HDFCAMC.NS,3
INDHOTEL.NS,3
GODREJPROP.NS,3
NAM-INDIA.NS,3
PEL.NS,3
MFSL.NS,3
SBILIFE.NS,3
ICICIPRULI.NS,3
MUTHOOTFIN.NS,4
HCLTECH.NS,4
WIPRO.NS,4
LTTS.NS,4
TECHM.NS,4
INFY.NS,4
NAUKRI.NS,4
TCS.NS,4
MPHASIS.NS,4
LUPIN.NS,5
DRREDDY.NS,5
GLENMARK.NS,5
SUNPHARMA.NS,5
SYNGENE.NS,5
PIIND.NS,5
CIPLA.NS,5
AUROPHARMA.NS,5
ZYDUSLIFE.NS,5
TRENT.NS,6
SIEMENS.NS,6
ABB.NS,6
CUMMINSIND.NS,6
